source,appendix,lake,station,season,sample_date_1971,depth_m,characteristic,value_as_printed,unit_as_printed,value_as_P,below_detection,not_determined,raw_text
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,26,TKN,3.82,mg/L,,FALSE,FALSE,3.82
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,26,o-PO4,0.61,mg/L as PO4,0.19896,FALSE,FALSE,0.61
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,26,t-PO4,0.76,mg/L as PO4,0.24788,FALSE,FALSE,0.76
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,26,SiO2,6.4,mg/L,,FALSE,FALSE,6.4
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,1,NO3,0.03,mg/L,,FALSE,FALSE,0.03
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,1,TKN,0.46,mg/L,,FALSE,FALSE,0.46
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,1,o-PO4,0.08,mg/L as PO4,0.02609,FALSE,FALSE,0.08
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,1,t-PO4,0.28,mg/L as PO4,0.09132,FALSE,FALSE,0.28
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,1,SiO2,4.8,mg/L,,FALSE,FALSE,4.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,5,NO3,0.03,mg/L,,FALSE,FALSE,0.03
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,5,TKN,0.52,mg/L,,FALSE,FALSE,0.52
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,5,o-PO4,0.07,mg/L as PO4,0.02283,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,5,t-PO4,0.29,mg/L as PO4,0.09459,FALSE,FALSE,0.29
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,5,SiO2,4.8,mg/L,,FALSE,FALSE,4.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,10,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,10,TKN,0.54,mg/L,,FALSE,FALSE,0.54
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,10,o-PO4,0.09,mg/L as PO4,0.02935,FALSE,FALSE,0.09
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,10,t-PO4,0.29,mg/L as PO4,0.09459,FALSE,FALSE,0.29
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,10,SiO2,4.9,mg/L,,FALSE,FALSE,4.9
